subject	block_num	trial_num	component_label	onset	duration	type_of_stimulus	concept_label	concept_examplar	response_time	response	expected_response	wrd_img_match	correct
0	1	4	word	57.21662830000132	0.5440607666673429	word	Jacke_german	n/a	n/a	n/a	n/a	1	n/a
0	1	4	possible_button_press	58.681670900001336	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	4	fix_cross_after_trial	58.695087899999635	1.1824122666660202	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	5	image	59.931816100001015	0.7562390666646621	image	house	house_24.jpg	n/a	n/a	n/a	1	n/a
0	1	5	word	60.70472183333234	0.5585661333350203	word	Haus_german	n/a	n/a	n/a	n/a	1	n/a
0	1	5	possible_button_press	62.17904890000136	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	5	fix_cross_after_trial	62.19265430000087	0.816852866664945	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	6	image	63.04601000000184	0.7632367666667648	image	bread	bread_32.jpg	n/a	n/a	n/a	1	n/a
0	1	6	word	63.82591343333527	0.9348766333312	word	Brot_german	n/a	n/a	n/a	n/a	1	n/a
0	1	6	possible_button_press	65.31113180000102	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	6	fix_cross_after_trial	65.32591610000236	1.1837360666652472	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	7	image	66.56061659999978	0.7638130666675949	image	jacket	jacket_19.jpg	n/a	n/a	n/a	1	n/a
0	1	7	word	67.32442966666737	0.5493285000011383	word	Jacke_german	n/a	n/a	n/a	n/a	1	n/a
0	1	7	possible_button_press	68.81157370000074	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	7	fix_cross_after_trial	68.8274061000011	1.2300226666668692	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	8	image	70.10912060000192	0.764030166665421	image	bread	bread_28.jpg	n/a	n/a	n/a	1	n/a
0	1	8	word	70.87315076666734	0.9163254000013694	word	Brot_german	n/a	n/a	n/a	n/a	1	n/a
0	1	8	possible_button_press	72.14481520000118	0.0	response	n/a	n/a	0.9337582000007387	r	m	1	0
0	1	8	fix_cross_after_trial	72.1561165000021	2.0993114666637354	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	9	image	74.33400500000062	0.7556139666669566	image	jacket	jacket_48.jpg	n/a	n/a	n/a	0	n/a
0	1	9	word	75.1229523000009	0.5654321666656585	word	Stuhl_german	n/a	n/a	n/a	n/a	0	n/a
0	1	9	possible_button_press	76.49547240000174	0.0	response	n/a	n/a	1.034342099999776	r	r	0	1
0	1	9	fix_cross_after_trial	76.507643500001	2.1974440666674724	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	10	image	78.74085270000069	0.7628758666653681	image	dog	dog_10.jpg	n/a	n/a	n/a	1	n/a
