subject	block_num	trial_num	component_label	onset	duration	type_of_stimulus	concept_label	concept_examplar	trigger_value	trigger_onset	trigger_delay	response_time	response	expected_response	wrd_img_match	correct
1	n/a	n/a	instruction_part1	-16.77402070000244	18.737250099991797	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	instruction_part2	-14.857095400002436	17.438088199996855	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	instruction_part3	-14.224686899993685	17.52035119998618	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	instruction_part4	-13.508393800002523	17.755049899991718	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	exp_start	0.0016628999874228612	0.0	trigger	n/a	n/a	255	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	instruction_start	24.51354060000449	19.285857799986843	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	instruction_start_2	26.995666500006337	n/a	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	1	image	27.836040399997728	0.7637695666674205	image	hammer	hammer_16.jpg	7	44.66945129999658	16.833410899998853	n/a	n/a	n/a	1	n/a
1	1	1	word	28.59980996666515	0.5290950000053272	word	Hammer_german	n/a	107	45.44647039999836	16.846660433333213	n/a	n/a	n/a	1	n/a
1	1	1	fix_cross_after_trial	30.112733799993293	1.152337966679866	fixation cross	n/a	n/a	94	46.946094200000516	16.833360400007223	n/a	n/a	n/a	n/a	n/a
1	1	2	image	31.371690200001467	0.7566032666693587	image	house	house_46.jpg	9	48.205130499991355	16.83344029998989	n/a	n/a	n/a	1	n/a
