subject	trial_type	block_name	sequence_name	route_num	trial_num	component_label	concept_label	concept_exemplar	onset	duration	type_of_stimulus	trigger_value	trigger_onset	trigger_delay	response_time	press_onset_est	response	response_meaning	expected_response	correct	distance_correct
3	retr_1	block1	A	n/a	9	image_1_retr	flower/flower_17.jpg	flower/flower_17.jpg	290.65770959999645	0.9999124666830994	image	6	290.6577471999917	3.759999526664615e-05	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	image_1_retr	n/a	n/a	290.6577471999917	0.0	trigger	6	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	retr_1	block1	A	n/a	9	image_2_retr	bread/bread_29.jpg	bread/bread_29.jpg	291.9407359000179	1.0000474666633181	image	3	291.94077330001164	3.739999374374747e-05	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	image_2_retr	n/a	n/a	291.94077330001164	0.0	trigger	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	reflection_start	n/a	n/a	293.1906148000271	0.0	trigger	31	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	reflection_end	n/a	n/a	294.9405255000456	0.0	trigger	32	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	order_options	n/a	n/a	294.9731589000439	0.0	trigger	59	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	retr_order	block1	A	n/a	9	n/a	n/a	n/a	297.6224915999919	0.0	choice	n/a	n/a	n/a	2.6473847000161186	n/a	b	n/a	left	False	4
3	n/a	block1	A	n/a	9	order_response	n/a	n/a	297.6225261000218	0.0	trigger	55	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	distance_options	n/a	n/a	297.77186740003526	0.0	trigger	58	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	retr_distance	block1	A	n/a	9	n/a	n/a	n/a	299.17163759999676	0.0	choice	n/a	n/a	n/a	2.6473847000161186	n/a	n/a	5	4	False	4
3	n/a	block1	A	n/a	9	distance_response	n/a	n/a	299.1716759999981	0.0	trigger	56	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	retr_distance	block1	A	n/a	9	n/a	n/a	n/a	299.2720304999966	0.0	choice	n/a	n/a	n/a	0.9070615000091493	n/a	5	5	4	False	4
3	retr_1	block1	A	n/a	10	retrieval_ITIcross	n/a	n/a	299.2882641000324	0.6500320666275456	fixcross	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3
3	retr_1	block1	A	n/a	10	image_1_retr	bicycle/bicycle_06.jpg	bicycle/bicycle_06.jpg	299.95481850003125	0.9995867666477807	image	2	299.95486330002313	4.47999918833375e-05	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	image_1_retr	n/a	n/a	299.95486330002313	0.0	trigger	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	retr_1	block1	A	n/a	10	image_2_retr	house/house_35.jpg	house/house_35.jpg	301.25544790003914	0.999376566618821	image	9	301.25549060001504	4.269997589290142e-05	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	image_2_retr	n/a	n/a	301.25549060001504	0.0	trigger	9	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	reflection_start	n/a	n/a	302.5046848000493	0.0	trigger	31	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	reflection_end	n/a	n/a	304.33738989999983	0.0	trigger	32	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	order_options	n/a	n/a	304.369745300035	0.0	trigger	59	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	retr_order	block1	A	n/a	10	n/a	n/a	n/a	305.6372584000346	0.0	choice	n/a	n/a	n/a	1.2610821000416763	n/a	b	right	right	False	3
3	n/a	block1	A	n/a	10	order_response	n/a	n/a	305.6373003000044	0.0	trigger	55	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	distance_options	n/a	n/a	305.78667790000327	0.0	trigger	58	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	retr_distance	block1	A	n/a	10	n/a	n/a	n/a	306.52039110002806	0.0	choice	n/a	n/a	n/a	1.2610821000416763	n/a	n/a	5	3	False	3
3	n/a	block1	A	n/a	10	distance_response	n/a	n/a	306.5204253999982	0.0	trigger	56	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	retr_distance	block1	A	n/a	10	n/a	n/a	n/a	306.6367639999953	0.0	choice	n/a	n/a	n/a	0.24534600001061335	n/a	5	5	3	False	3
3	retr_1	block1	A	n/a	11	retrieval_ITIcross	n/a	n/a	306.6526079000323	0.6004372666395739	fixcross	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5
3	retr_1	block1	A	n/a	11	image_1_retr	jacket/jacket_44.jpg	jacket/jacket_44.jpg	307.3197989000473	0.9994957666533537	image	10	307.3198598000454	6.089999806135893e-05	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	image_1_retr	n/a	n/a	307.3198598000454	0.0	trigger	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	retr_1	block1	A	n/a	11	image_2_retr	hammer/hammer_16.jpg	hammer/hammer_16.jpg	308.5854098999989	1.0007371666763447	image	7	308.58546309999656	5.319999763742089e-05	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	image_2_retr	n/a	n/a	308.58546309999656	0.0	trigger	7	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	reflection_start	n/a	n/a	309.8364785000449	0.0	trigger	31	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	reflection_end	n/a	n/a	312.05233140004566	0.0	trigger	32	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	order_options	n/a	n/a	312.1021697000251	0.0	trigger	59	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	retr_order	block1	A	n/a	11	n/a	n/a	n/a	313.26865280000493	0.0	choice	n/a	n/a	n/a	1.1534787999698892	n/a	g	right	left	False	5
3	n/a	block1	A	n/a	11	order_response	n/a	n/a	313.26869230001466	0.0	trigger	55	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	distance_options	n/a	n/a	313.41726539999945	0.0	trigger	58	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	retr_distance	block1	A	n/a	11	n/a	n/a	n/a	313.86803880002117	0.0	choice	n/a	n/a	n/a	1.1534787999698892	n/a	n/a	5	5	False	5
