subject	trial_type	block_name	sequence_name	route_num	trial_num	component_label	concept_label	concept_exemplar	onset	duration	type_of_stimulus	response_time	response	response_meaning	expected_response	correct	distance_correct
n/a	retr_1	block1	A	n/a	3	image_1_retr	flower/flower_07.jpg	flower/flower_07.jpg	436.9391843333801	1.0000635333087757	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_1	block1	A	n/a	3	image_2_retr	hand/hand_38.jpg	hand/hand_38.jpg	438.18966326670875	1.0159778000088409	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_order	block1	A	n/a	3	n/a	n/a	n/a	442.97053400002187	0.0	choice	1.2479273999924771	g	left	left	True	5
n/a	retr_distance	block1	A	n/a	3	n/a	n/a	n/a	444.903411300038	0.0	choice	1.2479273999924771	2	2	5	False	5
n/a	retr_1	block1	A	n/a	4	retrieval_ITIcross	n/a	n/a	444.92039630003273	0.2659947666727476	fixcross	n/a	n/a	n/a	n/a	n/a	2
n/a	retr_1	block1	A	n/a	4	image_1_retr	bread/bread_04.jpg	bread/bread_04.jpg	445.20305773337213	1.0001638333158098	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_1	block1	A	n/a	4	image_2_retr	ball/ball_37.jpg	ball/ball_37.jpg	446.4692196333858	0.9990550333129704	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_order	block1	A	n/a	4	n/a	n/a	n/a	450.51810240000486	0.0	choice	0.661115700029768	g	left	right	False	2
n/a	retr_distance	block1	A	n/a	4	n/a	n/a	n/a	451.80142980004894	0.0	choice	0.661115700029768	5	5	2	False	2
n/a	retr_1	block1	A	n/a	5	retrieval_ITIcross	n/a	n/a	451.81727050000336	0.6329555666927718	fixcross	n/a	n/a	n/a	n/a	n/a	4
n/a	retr_1	block1	A	n/a	5	image_1_retr	jacket/jacket_29.jpg	jacket/jacket_29.jpg	452.4668927333628	1.0167733333034903	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_1	block1	A	n/a	5	image_2_retr	hand/hand_38.jpg	hand/hand_38.jpg	453.7503080333777	0.9998551332935222	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_order	block1	A	n/a	5	n/a	n/a	n/a	460.13979390001623	0.0	choice	[]	m	n/a	right	False	4
n/a	retr_distance	block1	A	n/a	5	n/a	n/a	n/a	464.19897030002903	0.0	choice	[]	m	n/a	4	False	4
n/a	retr_1	block1	A	n/a	6	retrieval_ITIcross	n/a	n/a	464.71301440004027	0.6830466666763186	fixcross	n/a	n/a	n/a	n/a	n/a	3
n/a	retr_1	block1	A	n/a	6	image_1_retr	house/house_30.jpg	house/house_30.jpg	465.3960610667166	1.0164681999594904	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_1	block1	A	n/a	6	image_2_retr	flower/flower_07.jpg	flower/flower_07.jpg	466.6791015333806	0.9999927332935385	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_order	block1	A	n/a	6	n/a	n/a	n/a	472.8658731000032	0.0	choice	[]	m	n/a	left	False	3
n/a	retr_distance	block1	A	n/a	6	n/a	n/a	n/a	476.8620076000225	0.0	choice	[]	m	n/a	3	False	3
n/a	retr_1	block1	A	n/a	7	retrieval_ITIcross	n/a	n/a	477.37622370000463	0.43332556670452504	fixcross	n/a	n/a	n/a	n/a	n/a	5
n/a	retr_1	block1	A	n/a	7	image_1_retr	hammer/hammer_35.jpg	hammer/hammer_35.jpg	477.80954926670915	1.016308099962771	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_1	block1	A	n/a	7	image_2_retr	bicycle/bicycle_49.jpg	bicycle/bicycle_49.jpg	479.1084675000282	0.9998666666719487	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_order	block1	A	n/a	7	n/a	n/a	n/a	485.2588477000245	0.0	choice	[]	m	n/a	left	False	5
n/a	retr_distance	block1	A	n/a	7	n/a	n/a	n/a	489.257535700046	0.0	choice	[]	m	n/a	5	False	5
n/a	retr_1	block1	A	n/a	8	retrieval_ITIcross	n/a	n/a	489.77170570002636	0.6506021666612014	fixcross	n/a	n/a	n/a	n/a	n/a	2
n/a	retr_1	block1	A	n/a	8	image_1_retr	dog/dog_36.jpg	dog/dog_36.jpg	490.42230786668756	1.0154766999767162	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_1	block1	A	n/a	8	image_2_retr	hand/hand_38.jpg	hand/hand_38.jpg	491.68790416670186	1.0163145000115037	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_order	block1	A	n/a	8	n/a	n/a	n/a	496.17091810004786	0.0	choice	1.114285200019367	b	right	left	False	2
n/a	retr_distance	block1	A	n/a	8	n/a	n/a	n/a	496.95362040004693	0.0	choice	1.114285200019367	5	5	2	False	2
n/a	retr_1	block1	A	n/a	9	retrieval_ITIcross	n/a	n/a	496.96971880004276	0.33293476666244715	fixcross	n/a	n/a	n/a	n/a	n/a	4
n/a	retr_1	block1	A	n/a	9	image_1_retr	hammer/hammer_35.jpg	hammer/hammer_35.jpg	497.3026535667052	1.0164826000109315	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_1	block1	A	n/a	9	image_2_retr	flower/flower_07.jpg	flower/flower_07.jpg	498.5856457333507	0.9996559333483219	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_order	block1	A	n/a	9	n/a	n/a	n/a	502.3847630000091	0.0	choice	0.2476903999922797	g	left	left	True	4
n/a	retr_distance	block1	A	n/a	9	n/a	n/a	n/a	502.9179908000515	0.0	choice	0.2476903999922797	3	3	4	False	4
n/a	retr_1	block1	A	n/a	10	retrieval_ITIcross	n/a	n/a	502.93432250001933	0.5497315666909799	fixcross	n/a	n/a	n/a	n/a	n/a	5
n/a	retr_1	block1	A	n/a	10	image_1_retr	chair/chair_21.jpg	chair/chair_21.jpg	503.4840540667103	1.0163869999814779	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_1	block1	A	n/a	10	image_2_retr	house/house_30.jpg	house/house_30.jpg	504.75031156669525	1.0163322999724187	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_order	block1	A	n/a	10	n/a	n/a	n/a	508.41658570000436	0.0	choice	0.0473852000432089	b	right	right	True	5
n/a	retr_distance	block1	A	n/a	10	n/a	n/a	n/a	509.1326583000482	0.0	choice	0.0473852000432089	3	3	5	False	5
n/a	retr_1	block1	A	n/a	11	retrieval_ITIcross	n/a	n/a	509.1488944000448	0.3499795666468799	fixcross	n/a	n/a	n/a	n/a	n/a	3
n/a	retr_1	block1	A	n/a	11	image_1_retr	ball/ball_37.jpg	ball/ball_37.jpg	509.51554063335834	1.0006494333463252	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_1	block1	A	n/a	11	image_2_retr	bicycle/bicycle_49.jpg	bicycle/bicycle_49.jpg	510.78265333333593	1.0165098333343394	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_order	block1	A	n/a	11	n/a	n/a	n/a	517.3149562000181	0.0	choice	[]	m	n/a	right	False	3
n/a	retr_distance	block1	A	n/a	11	n/a	n/a	n/a	518.8299836000078	0.0	choice	[]	3	3	3	True	3
n/a	retr_1	block1	A	n/a	12	retrieval_ITIcross	n/a	n/a	518.8475519000203	0.4815530666421637	fixcross	n/a	n/a	n/a	n/a	n/a	3
n/a	retr_1	block1	A	n/a	12	image_1_retr	chair/chair_21.jpg	chair/chair_21.jpg	519.3291049666625	1.0173547000158578	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_1	block1	A	n/a	12	image_2_retr	hand/hand_38.jpg	hand/hand_38.jpg	520.5953555667113	1.0164035999914631	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_order	block1	A	n/a	12	n/a	n/a	n/a	526.9457206000225	0.0	choice	[]	m	n/a	left	False	3
n/a	retr_distance	block1	A	n/a	12	n/a	n/a	n/a	530.9442374000209	0.0	choice	[]	m	n/a	3	False	3
n/a	retr_1	block1	A	n/a	13	retrieval_ITIcross	n/a	n/a	531.4586129999952	0.4334410667108841	fixcross	n/a	n/a	n/a	n/a	n/a	5
n/a	retr_1	block1	A	n/a	13	image_1_retr	dog/dog_36.jpg	dog/dog_36.jpg	531.8920540667061	1.016016600013245	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_1	block1	A	n/a	13	image_2_retr	bread/bread_04.jpg	bread/bread_04.jpg	533.1747400333484	0.9996302333272524	image	n/a	n/a	n/a	n/a	n/a	n/a
